TOOLS NAME,CURRENT STOCK
Screw Driver (+)# 6300 2 x 100 Vessel,23
Screw Driver (+)# 6300 1 x 75 Vessel,31
Screw Driver (+)# 6900 0 x 75 Vessel,30
Stubby Driver (+/-)# 2 Vessel,25
Screw Driver (+)# 6300 5.5 x 75 Vessel,27
Allen Key Set TEKIRO (W-HK08SMS 8PCS Allen Wrench Key Short 2-10MM Set),27
Long Nose Pliers GOOT YP-3,22
Nippers Goot YN-3,10
Hand Blower (Cleaning kit Canon),10
Multi Meter Sanwa CD-800,37
Screw Driver (+)#2 6300 2 x 250 Vessel,22
Tweezers GOOT,15
Keyboard,21
Small Blower Merk Bestway 62139 electric Pump,10
Electric Blower Merk Nankai,20
Tool Bag,10
PaintBrush,12
CottonSwab (Box),20
CD-R,8
Spring Hook,30
USB Flash Drive 256 GB(Scandisk Ultra Flair USB 3.0 Flash Drive - SDCZ73 256GB),14
USB OTG Flash Drive 32GB Scan Disk,10
Screw Box Krisbow Section Case S120 N 218691,7
Tension Belt,29
Thermogun (Infrared Thermometer Benetech),20
Tool Box Krisbow KW-0103938,7
CleanCloth (Kg),5 Kg
