No,FSL ID,FSL Name,Description,FSL Pic,FSL City,Region ,FSL Address,FSL Phone,FSL HP1,FSL HP2,FSL Email,FSL Active,Status,FSL Remarks
1,IDCCW00,Country Central Warehouse,JNE,Hidayat,Jakarta,Region 1,Jl. Garuda No. 62. Kemayoran,021-4223800,0857-10177289,0857-10569298,cgk.hitachi1@jne.co.id,6/17/2015,Active,
2,IDFSLBDJ,FSL Banjarmasin,JNE,Taufik Hidayat,Banjarmasin,Region 3,Jl. Gatot Subroto No. 43 - 45. Banjarmasin,085715368969,,,bdj.hitachi@jne.co.id,4/5/2019,Active,
3,IDFSLBDO,FSL Bandung,IDL,Adi Tama,Bandung,Region 2,Jl. Pungkur Np. 253 Bandung 40252,0812 2716 9516,0812 1158 9424,0812 2716 9516,fsl_bdo@idlcargo.co.id,4/22/2024,Active,
4,IDFSLBOO,FSL Bogor,JNE,MAHDI HANAFI,Bogor,Region 1,Jl. Jend. Sudirman No.58 A. Kota Bogor,'089617650165,,,boo.hitachi@jne.co.id,10/1/2018,Active,
5,IDFSLBPN,FSL Balikpapan,JNE,Hapsan Rizky,Balikpapan,Region 3,Jl. MT. Haryono Dalam. RT. 30 No. 166. Damai. Balikpapan,6282254703467,082350777080,,bpn.trucking-log@jne.co.id,4/5/2019,Active,
6,IDFSLBTH,FSL Batam,JNE,Rosian Anwar,Batam,Region 3,Komp. Tiban Centre. Blok B No.1. Jl. Gajah Mada. Sekupang Batam,082135651661,,,bth.lti@jne.co.id,6/27/2019,Active,
7,IDFSLCBN,FSL Cirebon,JNE,Harris Rahman,Cirebon,Region 2,JL Jendral Sudirman No 152,,'081324030331,,cbn.trucking-log@jne.co.id,10/27/2016,Active,
8,IDFSLDPS,FSL Denpasar,JNE,Ferdinand,Denpasar,Region 3,Jl. Pondok Indah No.16,62361410866,0811389770,,dps.ncr@jne.co.id,11/14/2016,Active,
9,IDFSLJBR,FSL Jember,IDL,Fathur Rachman,Jember,Region 2,"Ruko Gardenia  Kav. 1  Jl. Kaca Piring No.133 Gebang Tengah , Gebang , Kec  Patrang, Kabupaten Jember - Jawa Timur 68117",6285232328338,0812 1779 9773,0812 2716 9516,fsl_jbe@idlcargo.co.id,4/5/2019,Active,
10,IDFSLJOG,FSL Yogyakarta,IDL,Joko Purnomo,Yogyakarta,Region 2,Jl. Ringroad Timur no.3 Modalan. Plumbon. Banguntapan. Bantul. Yogyakarta,085888049383,088221082117,,fslidl_jog@idlcargo.co.id,3/30/2021,Active,
11,IDFSLMDC,FSL Manado,JNE,RANDY THOMAS,Manado,Region 3,Jl. Yos Sudarso No. 28A Lt.3. Kairagi Weru. Manado,'085212641212,,,mdc.outbound1@jne.co.id,4/5/2019,Active,
12,IDFSLMES,FSL Medan,JNE,Irfan Oloan,Medan,Region 3,"Komp. Amplas Trade Centre Blok F No. 18, Jl. SM Raja KM 10",'085261882494,,,mes.log-warehouse@jne.co.id,11/14/2016,Active,
13,IDFSLMXG,FSL Malang,IDL,Freza,Malang,Region 2,"Jl. Tlogo Mas No.55, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",,089655633299,081227169516,fsl_mlg@idlcargo.co.id,4/1/2024,Active,
14,IDFSLPDG,FSL Padang,JNE,EDO KURNIAWAN,Padang,Region 3,Jl. Jhoni Anwar R6. Kel. Ulak Karang Utara. Kec. Padang Utara.,,+62 822-8495-7989,,pdg.hitachi@jne.co.id,6/22/2022,Active,
15,IDFSLPKU,FSL Pekanbaru,JNE,Kodri,Pekanbaru,Region 3,Jl. Rawa Indah No.7 Kel. Sidomulyo Timur,6285210781985,,,pku.ncr@jne.co.id,11/29/2016,Active,
16,IDFSLPLM,FSL Palembang,JNE,M.JASMADI ALY,Palembang,Region 3,Jl. Irigasi Pakjo Palembang,082178833749,,,plm.adm-opr@jne.co.id,11/29/2016,Active,
17,IDFSLPNK,FSL Pontianak,JNE,Rasyid,Pontianak,Region 3,"'Jl. A Yani 2, masuk Jl. P.H Muksin (Samping dakwah Muhammadiyah) JNE Outbound Station",6281649127988,'081351515239,,pnk.ncr@jne.co.id,4/5/2019,Active,
18,IDFSLPWO,FSL Purwokerto,IDL,Fahri Apriyanto,Purwokerto,Region 2,Jl Smp Negeri 5 no 6. Ruko No 3 Windusara. Karangklesem. Kec. Purwokerto Selatan.. Kabupaten Banyumas. Jawa Tengah 53144. Indonesia,085726508630,082007640552,081227169516,fslidl_pwo@idlcargo.co.id,9/1/2020,Active,
19,IDFSLSRG,FSL Semarang,IDL,Damar Priyanto,Semarang,Region 2,"Ruko Puri Business Park.JL. Puri Anjasmoro Blok EE 1 No.12 B, Semarang Barat",082112082080,081227109497,085712295651,fslidl_srg@idlcargo.co.id,3/30/2021,Active,
20,IDFSLSUB,FSL Surabaya,JNE,Riyadi,Surabaya,Region 2,"Jalan Manyar Kertoarjo II,No 4, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116",623199012779,'08533094959,,sub.log-project3@jne.co.id,11/14/2016,Active,
21,IDFSLTGR,FSL Tangerang,IDL,Ihsan zuhud,Tangerang,Region 1,"Ruko Golden Madrid X Blok A Nomor 17 Jl. Letnan Sutopo Serpong, BSD, Kota Tangerang Selatan,  Banten 15310",0852 8234 8213,0859 5618 4242,0813 8198 4338,fsl_tng@idlcargo.co.id,3/28/2024,Active,
22,IDFSLTKG,FSL Bandar Lampung,JNE,ANGGI SATRIA,Bandar Lampung,Region 1,Jl. Imam Bonjol no.351 Langkapura Bandarlampung (cabang utama JNE Bandarlampung),6282178906907,682175815449,,tkg.trucking-log@jne.co.id,11/14/2016,Active,
23,IDFSLUPG,FSL Makassar,JNE,Taufiq,Makassar,Region 3,"Ruko Pettarani Center, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90231, Indonesia",6282337022107,'081242336715,,upg.ncr@jne.co.id,11/14/2016,Active,
24,IDFSLAMI,FSL Mataram,JNE,Burhanudin Yusuf Haqiqi,Mataram,Region 3,KP. Cakra. Jl. AA Gede Ngurah Blok B4 Cakranegara. Kota Mataram,,0818336775,,,0000-00-00,Active,
25,IDFSLAMQ,FSL Ambon,JNE,Juan,Ambon,Region 1,JNE Ambon jalan setia budi no 24c kelurahan ahusen kecamatan sirimau,0,'082346333280,,,0000-00-00,Active,
26,IDFSLDJB,FSL Jambi,JNE,Dede Riskita,Jambi,Region 3,JL. RB Siagian Lorong Kartika Kel. Pasir Putih Kec. Jambi Selatan Kota Jambi Kode Pos 36139,'089616691012,,,,0000-00-00,Active,
27,IDFSLDJJ,FSL Jayapura,JNE,Nindy,Jayapura,Region 1,JNE Jayapura. JL Raya Sentani no 7.waena.heram Jayapura,'082197216812,,,,0000-00-00,Active,
28,IDFSLKOE,FSL Kupang,JNE,Berton,Kupang,Region 1,"Jl. Rw. Monginsidi III Komp. rko lontar permai Blok C-15, Fatululi - Obobo",0,081236087727,,,0000-00-00,Active,
29,IDFSLPKY,FSL Palangkaraya,JNE,Gilang,Palangkaraya,Region 3,Jl. Seth Adji. Langkai. Kec. Pahandut. Kota Palangka Raya. Kalimantan Tengah 74874. Indonesia (setelah lampu merah seberang warung makan tenda biru),'08974321764,,,,0000-00-00,Active,
30,IDFSLPLW,FSL Palu,JNE,DJOKO SOEMARSONO,Palu,Region 3,Jl. Juanda. Lolu Utara. Kec. Palu Selatan. Kota Palu. Sulawesi Tengah 94111,0,'082264859860,,,0000-00-00,Active,
31,IDFSLBKS,FSL Bengkulu,JNE,Mardiantoni,Bengkulu,Region 3,"Jl. Raden Fatah, Pagar Dewa, Kec. Selebar, Kota Bengkulu, Bengkulu 38223",'085266900657,,,milis.hitachi@jne.co.id,5/21/2024,Active,
32,IDFSLPMS,FSL Pematang Siantar,JNE,Imam,Pematang Siantar,Region 3,"Jl. Merdeka No. 320, Kelurahan Pahlawan, Kecamatan Siantar Timur, Kota Pematang Siantar",,'085359133479,,,7/23/2024,Active,
