Month,Year,Total machine
6,2015,8
7,2015,12
8,2015,24
9,2015,42
10,2015,116
11,2015,167
12,2015,258
1,2016,311
2,2016,339
3,2016,410
4,2016,533
5,2016,545
6,2016,557
7,2016,559
8,2016,704
9,2016,862
10,2016,967
11,2016,1159
12,2016,1170
1,2017,1173
2,2017,1175
3,2017,1194
4,2017,1210
5,2017,1209
6,2017,1210
7,2017,1212
8,2017,1324
9,2017,1422
10,2017,1634
11,2017,2079
12,2017,2220
1,2018,2229
2,2018,2242
3,2018,2257
4,2018,2303
5,2018,2354
6,2018,2360
7,2018,2517
8,2018,2655
9,2018,2782
10,2018,2810
11,2018,3179
12,2018,3241
1,2019,3280
2,2019,3404
3,2019,3712
4,2019,4067
5,2019,4241
6,2019,4261
7,2019,4290
8,2019,4546
9,2019,4595
10,2019,4636
11,2019,4713
12,2019,5327
1,2020,5513
2,2020,5516
3,2020,5526
4,2020,5536
5,2020,5514
6,2020,5619
7,2020,5909
8,2020,6187
9,2020,6229
10,2020,5937
11,2020,6016
12,2020,7370
1,2021,7397
2,2021,7769
3,2021,7944
4,2021,8093
5,2021,8252
6,2021,8443
7,2021,8541
8,2021,8653
9,2021,8805
10,2021,9652
11,2021,10301
12,2021,10371
1,2022,10168
2,2022,10147
3,2022,10915
4,2022,11019
5,2022,11103
6,2022,11432
7,2022,11494
8,2022,11534
9,2022,12730
10,2022,13493
11,2022,13594
12,2022,13714
1,2023,13781
2,2023,14076
3,2023,14155
4,2023,14191
5,2023,14238
6,2023,14307
7,2023,13955
8,2023,15428
9,2023,16338
10,2023,16578
11,2023,16763
12,2023,16992
1,2024,17429
2,2024,17320
3,2024,17439
4,2024,17451
5,2024,17452
6,2024,17331
7,2024,17634
8,2024,17973
9,2024,18167
10,2024,18627
11,2024,18660
12,2024,18747
1,2025,18742
2,2025,19012
3,2025,18946
4,2025,18989
5,2025,18816
6,2025,18779
7,2025,18842
8,2025,18969
9,2025,19096
